seed,final_pop,peak_pop,min_pop,births,deaths,marriages,trades,trade_items,food_per_cap,gini,sentiment,health,wellbeing,hunger_sat,starvation_day,dominant_activity,top_skill,top_skill_level,elapsed_s
85062,109,150,109,0,41,21,14977,94705.3,0.02,0.115,50.4,39.1,0.219,0.050,-1,rest,gathering,95.5,414.4
63696,117,150,117,0,33,20,11695,84546.1,0.03,0.097,47.4,39.5,0.232,0.071,-1,rest,gathering,93.1,431.3
51113,116,150,116,0,34,17,11804,88556.5,0.00,0.043,49.7,37.0,0.225,0.015,176,rest,gathering,93.7,379.9
26978,106,150,106,0,44,20,11712,81671.1,0.00,0.121,51.8,36.5,0.222,0.018,-1,rest,gathering,96.9,1279.0
30782,107,150,107,0,43,16,12501,87870.0,0.01,0.094,51.2,40.7,0.231,0.042,-1,rest,gathering,95.1,389.2
4097,106,150,106,0,44,21,14337,85821.4,0.02,0.109,46.0,40.4,0.229,0.049,-1,rest,gathering,94.7,69638.8
7524,109,150,109,0,41,12,11541,87988.3,0.00,0.038,46.4,36.0,0.201,0.001,144,gather_berries,gathering,95.0,385.8
1652,122,150,122,0,28,14,13424,91101.1,0.03,0.141,47.6,46.0,0.229,0.053,-1,rest,gathering,90.2,403.9
17526,108,150,108,0,42,22,12264,94882.2,0.00,0.063,50.6,42.1,0.216,0.024,-1,rest,gathering,92.6,367.8
81327,118,150,118,0,32,21,12149,94088.6,0.00,0.060,47.5,43.9,0.219,0.050,-1,rest,gathering,92.1,392.3
