day,population,births,deaths,avg_sentiment,avg_hunger,avg_health,total_food,food_per_capita,gini,avg_wellbeing,marriages,trades,trade_items,work_parties
1,150,0,0,49.97,0.646,99.5,3721.4,24.81,0.122,0.624,0,266,2077.3,0
2,150,0,0,49.98,0.650,98.4,3654.7,24.36,0.128,0.556,0,285,2248.5,0
3,150,0,0,49.97,0.650,98.0,3582.9,23.89,0.139,0.551,0,254,1900.6,0
4,150,0,0,49.94,0.650,97.4,3508.2,23.39,0.156,0.544,0,283,2017.1,0
5,150,0,0,49.93,0.650,96.6,3069.0,20.46,0.144,0.527,0,258,1914.2,0
6,150,0,0,49.93,0.650,96.3,2995.4,19.97,0.143,0.515,0,209,1337.5,0
7,150,0,0,49.93,0.650,96.2,2924.8,19.50,0.155,0.500,0,217,1378.7,0
8,150,0,0,49.92,0.650,96.0,2852.2,19.01,0.156,0.496,0,193,1065.9,0
9,150,0,0,49.91,0.650,95.9,2773.4,18.49,0.157,0.489,0,210,1407.6,0
10,150,0,0,49.91,0.650,95.5,2696.9,17.98,0.155,0.484,0,224,1470.5,0
